%time,field.header.seq,field.header.stamp,field.header.frame_id,field.wrench.force.x,field.wrench.force.y,field.wrench.force.z,field.wrench.torque.x,field.wrench.torque.y,field.wrench.torque.z
132215000000,0,132208000000,active_module_b_1,0.0006542468007317837,-65.75119199531014,0.00038044151042271324,1.0329237070915052,-7.334486963550546e-05,-16.454921870501423
132308000000,1,132308000000,active_module_b_1,0.0007190179365395011,-65.75125135522748,0.0007747197542755657,1.032676108286105,-0.00019013144878154975,-16.45494740691742
132408000000,2,132408000000,active_module_b_1,0.0007190988256198239,-65.75125142210703,0.0007767952592807603,1.0326763822417822,-0.00019088488281848726,-16.454947437796335
132509000000,3,132508000000,active_module_b_1,0.0006542338414412541,-65.75119198432881,0.00038036377802797006,1.0329237534029083,-7.332136333371153e-05,-16.454921865657226
132608000000,4,132608000000,active_module_b_1,0.0007190517316644218,-65.75125138609997,0.000774925556559225,1.0326759770413978,-0.00019019243931150953,-16.45494742022282
132708000000,5,132708000000,active_module_b_1,0.000718987640812685,-65.75125131195163,0.0007743134083959546,1.032676366279703,-0.00019000654150502783,-16.45494739056464
132808000000,6,132808000000,active_module_b_1,0.0006542092415138256,-65.7511919620213,0.00038021410257726984,1.0329238453416356,-7.327676851431875e-05,-16.454921856041327
132909000000,7,132908000000,active_module_b_1,0.0007190852152128002,-65.75125141663476,0.0007751287419957009,1.0326758479261482,-0.00019025257562077513,-16.45494743337923
133008000000,8,133008000000,active_module_b_1,0.0007189382142200884,-65.75125128304053,0.0007742330850284418,1.0326764313393686,-0.00018998635068978587,-16.454947375741938
133108000000,9,133108000000,active_module_b_1,0.0006541782249414041,-65.75119193417925,0.00038002593729302703,1.0329239614615386,-7.322090867933895e-05,-16.454921843971746
133209000000,10,133208000000,active_module_b_1,0.0006565865037551077,-65.75119262730293,0.000371341196064634,1.0329232708371103,-7.007714555662403e-05,-16.45492236263405
133308000000,11,133308000000,active_module_b_1,0.0007189437722487924,-65.75125128734258,0.0007742674880546474,1.0326764019773176,-0.00018999696269350608,-16.454947377723734
133408000000,12,133408000000,active_module_b_1,0.000654144687985081,-65.75119190344031,0.00037982201411423944,1.0329240876057213,-7.316046696193013e-05,-16.454921830754895
133508000000,13,133508000000,active_module_b_1,0.0006542256467021446,-65.7511919672771,0.00038021732993342994,1.0329238367039038,-7.327756732333768e-05,-16.454921859633906
133608000000,14,133608000000,active_module_b_1,0.0007189645062268823,-65.75125130613434,0.0007743939630380225,1.0326763179611507,-0.00019003473991752173,-16.45494738583525
133708000000,15,133708000000,active_module_b_1,0.0006541110582283238,-65.75119187236055,0.0003796168133689548,1.03292421465683,-7.309969623481294e-05,-16.454921817417084
133808000000,16,133808000000,active_module_b_1,0.0006542402147182713,-65.75119199078304,0.0003804379211587161,1.032923722358913,-7.33454104029363e-05,-16.454921868337088
133910000000,17,133908000000,active_module_b_1,0.0007189935234848122,-65.75125133232703,0.000774570785871731,1.0326762037151354,-0.00019008728037395173,-16.454947397169853
134008000000,18,134008000000,active_module_b_1,0.0007117744844293838,-65.75123516838902,0.0007498137250046,1.0326733216128399,-0.0001913201523429109,-16.454941781178512
134110000000,19,134108000000,active_module_b_1,0.0006542449050961352,-65.75119199427928,0.0003804313525535008,1.0329237128864346,-7.334174162476614e-05,-16.454921869939604
134208000000,20,134208000000,active_module_b_1,0.0007190264559291393,-65.7512513624412,0.0007747708807031017,1.0326760756189408,-0.0001901466139022645,-16.45494741013471
134308000000,21,134308000000,active_module_b_1,0.0007184539742084439,-65.7512511695195,0.0007758838752032204,1.03267636396308,-0.00019056820377194583,-16.45494727934616
134408000000,22,134408000000,active_module_b_1,0.0006542287714665918,-65.75119197926225,0.0003803315684116626,1.032923773092333,-7.33117315894205e-05,-16.454921863549615
134508000000,23,134508000000,active_module_b_1,0.0007190602341076158,-65.75125139354094,0.0007749769839513476,1.0326759443407214,-0.00019020765679655938,-16.454947423480533
134608000000,24,134608000000,active_module_b_1,0.0007189475142475032,-65.75125129375066,0.0007743203026819856,1.0326763981184905,-0.00019001297360077274,-16.454947380060034
134709000000,25,134708000000,active_module_b_1,0.0006542018524946513,-65.75119195561336,0.0003801696145622202,1.0329238727638472,-7.326355753090041e-05,-16.454921853224615
134808000000,26,134808000000,active_module_b_1,0.0007190932763805336,-65.7512514238617,0.0007751781633480448,1.032675816559593,-0.00019026722848014543,-16.454947436526886
134908000000,27,134908000000,active_module_b_1,0.0007189379064591606,-65.75125128263605,0.0007742293555708102,1.0326764307812781,-0.0001899852926063872,-16.454947375567674
135008000000,28,135008000000,active_module_b_1,0.000654170113964625,-65.75119192654108,0.00037997575364556724,1.0329239924841187,-7.320602613525296e-05,-16.45492184071259
135108000000,29,135108000000,active_module_b_1,0.0006555046879554993,-65.75119240762808,0.00038087365904360126,1.0329241418585484,-7.352385469516776e-05,-16.4549221564434
135208000000,30,135208000000,active_module_b_1,0.0007189478323788023,-65.75125129121461,0.0007742924241433968,1.0326763849814795,-0.00019000442351124747,-16.454947379346862
135308000000,31,135308000000,active_module_b_1,0.0006541362876575363,-65.75119189530415,0.00037977040333103673,1.0329241195479941,-7.314517950707256e-05,-16.45492182732578
135408000000,32,135408000000,active_module_b_1,0.0006542779118099418,-65.75119199134247,0.0003802338098886082,1.0329237889885765,-7.327879533658432e-05,-16.45492187349546
135508000000,33,135508000000,active_module_b_1,0.00071897108181318,-65.75125131237864,0.0007744347489442305,1.0326762914831935,-0.0001900468632376473,-16.454947388469
